"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
78,"NCT03703882","Phase III Study of Edasalonexent in Boys With Duchenne Muscular Dystrophy","PolarisDMD","Completed","No Results Available","Muscular Dystrophy, Duchenne","Drug: Edasalonexent|Drug: Placebo","Change from baseline in North Star Ambulatory Assessment (NSAA)|Safety and tolerability measured by number of treatment- emergent adverse events (TEAEs) and serious adverse events (SAEs)|Change from baseline in 10-meter walk/run test|Change from baseline in time to stand from supine|Change from baseline in 4-stair climb","Catabasis Pharmaceuticals","Male","4 Years to 7 Years   (Child)","Phase 3","131","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","CAT-1004-301","October 2, 2018","September 22, 2020","September 22, 2020","October 12, 2018",,"November 20, 2020","Arkansas Children's Hospital, Little Rock, Arkansas, United States|Children's Hospital of Los Angeles, Los Angeles, California, United States|UC Davis, Sacramento, California, United States|Nemours Children's Hospital, Orlando, Florida, United States|Rare Disease Research, LLC, Atlanta, Georgia, United States|Rush University Children's Hospital, Chicago, Illinois, United States|University of Iowa Children's Hospital, Iowa City, Iowa, United States|University of Kansas Medical Center, Fairway, Kansas, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|Johns Hopkins School of Medicine, Baltimore, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|University of Minnesota, Minneapolis, Minnesota, United States|Las Vegas Clinic, Las Vegas, Nevada, United States|Cincinnati Children's Hospital, Cincinnati, Ohio, United States|MetroHealth Medical Center, Cleveland, Ohio, United States|Shriners Hospitals for Children, Portland, Oregon, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Cook Children's Medical Center, Fort Worth, Texas, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, United States|University of Utah, Salt Lake City, Utah, United States|Children's Hospital of the King's Daughters, Norfolk, Virginia, United States|Children's Hospital of Richmond at VCU, Richmond, Virginia, United States|The Children's Hospital at Westmead, Westmead, New South Wales, Australia|Children's Health Queensland Children's Hospital and Health Service, South Brisbane, Queensland, Australia|Royal Children's Hospital, Parkville, Victoria, Australia|Alberta Children's Hospital, Calgary, Alberta, Canada|London Health Sciences Centre - Children's Hospital, London, Ontario, Canada|Children's Hospital of Eastern Ontario, Ottawa, Ontario, Canada|CHU Sainte-Justine, Montréal, Quebec, Canada|University of Hamburg, Hamburg, Germany|University of Munich, Munich, Germany|Children's University Hospital, Dublin, Ireland|Hadassah Medical Center, Jerusalem, Israel|Queen Silvia Children's Hospital, Gothenburg, Sweden|Bristol Children's Hospital, Bristol, United Kingdom|Evelina Children's Hospital, London, United Kingdom|Great Ormond Street Hospital (GOSH), London, United Kingdom|Royal Manchester Children's Hospital, Manchester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03703882"
79,"NCT01200238","STA-9090(Ganetespib) in Metastatic Ocular Melanoma",,"Completed","Has Results","Ocular Melanoma","Drug: STA-9090","4-month Progression Free Survival (PFS) Rate|Expression of cMET|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Progression-Free Survival (PFS)|Overall Survival (OS)|Grade 3-4 Treatment-Related Toxicity Rate","Dana-Farber Cancer Institute|Beth Israel Deaconess Medical Center|Massachusetts General Hospital|Brigham and Women's Hospital|Synta Pharmaceuticals Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 2","17","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","10-137","September 17, 2010","October 12, 2014","November 11, 2016","September 13, 2010","June 27, 2018","October 18, 2018","Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01200238"
80,"NCT02348372","Study to Evaluate the Safety, Pharmacokinetics, and Pharmacodynamics of Single Oral Doses of GSK1278863A in Healthy Subjects",,"Completed","No Results Available","Anaemia","Drug: GSK1278863A Placebo|Drug: GSK1278863A","Number of Participants with Adverse Events as a Measure of Safety and Tolerability|AUC(0-t), AUC(0-∞), Cmax, tmax and t½ of GSK1278863A|Changes from Baseline of Clinical laboratory tests|Changes from Baseline of Vital signs|Change from Baseline of 12-lead ECG|Hemoglobin endpoints: Hemoglobin actual values, change from baseline, rate of rise/decline, maximum change from baseline, and maximum % change from baseline","GlaxoSmithKline","All","20 Years to 55 Years   (Adult)","Phase 1","34","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Other","115385","March 31, 2011","June 3, 2011","June 3, 2011","January 28, 2015",,"June 22, 2017","GSK Investigational Site, Randwick, Sydney, New South Wales, Australia",,"https://ClinicalTrials.gov/show/NCT02348372"
81,"NCT03368170","Efficacy and Tolerability of IRL790 in Parkinson's Disease Dyskinesia",,"Completed","Has Results","Parkinson Disease","Drug: Mesdopetam (IRL790)","Unified Dyskinesia Rating Scale (UDysRS)|Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Part IV, Question 4.1 and 4.2|Unified Parkinson's Disease Rating Scale (MDS-UPDRS), Part II and III","Integrative Research Laboratories AB|The Clinical Trial Company","All","18 Years to 79 Years   (Adult, Older Adult)","Phase 2","75","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRL790C003","April 12, 2018","June 12, 2019","June 12, 2019","December 11, 2017","March 24, 2020","August 25, 2020","Sahlgrenska University hospital, Göteborg, Sweden|University hospital, Linköping, Sweden|University hospital, Lund, Sweden|Karolinska University hospital, Stockholm, Sweden|Bristol Brain Centre, Southmead Hospital, Bristol, United Kingdom|Fairfield General Hospital (Pennine Acute NHS Trust), Bury, United Kingdom|Ninewells Hospital, Dundee, United Kingdom|Lincoln County Hospital, Lincoln, United Kingdom|Charing Cross Hospital, Imperial College Healthcare NHS Trust, London, United Kingdom|The National Hospital of Neurology and Neurosurgery (UCL), London, United Kingdom|Luton and Dunstable University Hospital NHS Foundation Trust, Luton, United Kingdom|North Tyneside General Hospital, North Shields, United Kingdom|Qeens' Medical Centre, Nottingham, United Kingdom|John Radcliffe Hospital, Oxford, United Kingdom|Peterborough City Hospital, Peterborough, United Kingdom|Plymouth Hospitals NHS Trust - Derriford Hospital, Plymouth, United Kingdom|Queens's Hospital, Romford, United Kingdom|Royal Stoke University Hospital, Stoke-on-Trent, United Kingdom|Torbay hospital, Torquay, United Kingdom|Royal Cornwall Hospital, Truro, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/70/NCT03368170/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/70/NCT03368170/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03368170"
82,"NCT02355535","Procaspase Activating Compound-1 (PAC-1) in the Treatment of Advanced Malignancies - Component 1",,"Completed","No Results Available","Solid Tumor|Pancreatic Neuroendocrine Tumor|Neuroendocrine Tumors","Drug: PAC-1","Maximum Tolerated Dose|Adverse Effects|Disease Response based on RECIST Criteria for patients with solid tumors|Disease Response based on Deauville PET Criteria for patients with lymphoma","Vanquish Oncology, Inc.|University of Illinois at Chicago","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 1","48","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2015-0057","February 2015","May 18, 2020","May 18, 2020","February 4, 2015",,"September 24, 2020","University of Illinois at Chicago, Chicago, Illinois, United States|Johns Hopkins Kimmel Cancer Center, Baltimore, Maryland, United States|Regions Hospital, Saint Paul, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT02355535"
83,"NCT01410981","Prognostic Potential of Cell Surface Markers and Pim Kinases in Multiple Myeloma",,"Completed","No Results Available","Multiple Myeloma",,"Measure the expression levels of CXCR4, CD47, and pS6 by flow cytometry in myeloma patient's marrow aspirate|Determine if Pim kinase inhibitors or sphingosine kinase 2 inhibitors will inhibit patients' myeloma cells","Medical University of South Carolina|Genentech, Inc.","All","18 Years and older   (Adult, Older Adult)",,"73","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","101565","August 2011","June 2014","June 2014","August 5, 2011",,"April 5, 2018","Medical University of South Carolina, Charleston, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT01410981"
84,"NCT01486199","Imaging Airway Liquid Absorption in Cystic Fibrosis",,"Completed","Has Results","Cystic Fibrosis","Other: Absorptive clearance scan","Absorptive Clearance Rate|Mucociliary Clearance Rate","University of Pittsburgh|National Institutes of Health (NIH)|National Heart, Lung, and Blood Institute (NHLBI)","All","6 Years and older   (Child, Adult, Older Adult)","Not Applicable","20","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","1R01HL108929-01|R01HL108929","October 2011","October 2014","October 2014","December 6, 2011","September 25, 2017","September 25, 2017","University of Pittsburgh, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01486199"
85,"NCT01340846","A Pharmacokinetics Study of the Effects of GSK2118436 on Warfarin, the Effects of Ketoconazole and Gemfibrozil on GSK2118436, and the Effects of Repeat Doses of GSK2118436 in Subjects With BRAF Mutant Solid Tumors",,"Completed","No Results Available","Cancer","Drug: Warfarin|Drug: Ketoconazole|Drug: Gemfibrozil|Drug: GSK2118436 150mg|Drug: GSK2118436 75mg","Maximum plasma concentration (Cmax) of S-warfarin with and without GSK2118436|Area under the concentration time curve (AUC) of S-warfarin with and without GSK2118436|Maximum plasma concentration (Cmax) of GSK2118436 with and without an inhibitor|Area under the concentration time curve (AUC) of GSK2118436 with and without an inhibitor|Cmax of GSK2118436 and metabolites after single and multiple 75mg HPMC dose|AUC of GSK2118436 and metabolites after single and multiple 75mg HPMC dose|Time to Cmax (Tmax) of GSK2118436 and metabolites after single and multiple 75mg HPMC dose|Half-life of GSK2118436 and metabolites after single 75mg HPMC dose|Cmax of GSK2118436 and metabolites after single and multiple 150mg HPMC dose|AUC of GSK2118436 and metabolites after single and multiple 150mg HPMC dose|Tmax of GSK2118436 and metabolites after single and multiple 150mg HPMC dose|Half-life of GSK2118436 and metabolites after single 150mg HPMC dose|Cmax of R-warfarin with and without GSK2118436|Time to Cmax (Tmax) of R-warfarin|Trough concentration of GSK2118436|Number of subjects with adverse events as a measure of safety and tolerability|Tmax for GSK2118436 with and without an inhibitor|AUC, Cmax, Tmax and trough concentration of GSK2118436 metabolites with and without an inhibitor, and AUC ratio of metabolites to parent|Inhibitor concentrations in combination with GSK2118436|AUC of R-warfarin with and without GSK2118436|Terminal half-life (t1/2) of R-warfarin|Cmax of GSK2118436|Trough concentration for GSK2118436 with and without an inhibitor|Cmax of GSK2118436 metabolites with and without an inhibitor|Tmax of GSK2118436 metabolites with and without an inhibitor|Trough concentration of GSK2118436 metabolites with and without an inhibitor|AUC ratio of metabolites to parent with and without an inhibitor","GlaxoSmithKline","All","18 Years and older   (Adult, Older Adult)","Phase 1","48","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","113771","September 3, 2012","November 14, 2012","November 14, 2012","April 25, 2011",,"November 13, 2017","GSK Investigational Site, Scottsdale, Arizona, United States|GSK Investigational Site, Sarasota, Florida, United States|GSK Investigational Site, Detroit, Michigan, United States|GSK Investigational Site, Columbus, Ohio, United States|GSK Investigational Site, Oklahoma City, Oklahoma, United States|GSK Investigational Site, Greenville, South Carolina, United States|GSK Investigational Site, Nashville, Tennessee, United States|GSK Investigational Site, Salt Lake City, Utah, United States|GSK Investigational Site, Nedlands, Western Australia, Australia|GSK Investigational Site, Headington, United Kingdom|GSK Investigational Site, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01340846"
86,"NCT02605746","Preoperative Ceritinib (LDK378) in Glioblastoma Multiforme and CNS Metastasis",,"Completed","No Results Available","Glioblastoma|Brain Metastases","Drug: ceritinib 750mg","Plasma Concentration|Cerebrospinal Concentration|Intratumoral Concentration|Tumor Tissue|Tumor Cells in M-Phase|Double Strand DNA|Tissue Concentration","St. Joseph's Hospital and Medical Center, Phoenix|Novartis|Wayne State University|Translational Genomics Research Institute","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","10","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","PHX15BN068","February 17, 2016","November 29, 2018","July 12, 2019","November 16, 2015",,"December 11, 2020","Barrow Brain and Spine, Phoenix, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT02605746"
87,"NCT02308761","A Study of RO6870810/TEN-010 in Participants With Acute Myeloid Leukemia and Myelodysplastic Syndrome",,"Completed","No Results Available","Acute Myeloid Leukemia|Myelodysplastic Syndromes","Drug: RO6870810","Percentage of Participants With Dose-Limiting Toxicities (DLTs)|MTD of RO6870810|Percentage of Participants With Adverse Events (AEs)|Area Under the Concentration Versus Time Curve from Time Zero to the End of Dosing Interval 24 Hours Later (AUC0-24) of RO6870810|Maximum Observed Plasma Concentration (Cmax) of RO6870810|Time to Cmax (Tmax) of RO6870810","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 1","26","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NP39142","November 6, 2014","August 9, 2017","August 9, 2017","December 4, 2014",,"December 11, 2017","Dana Farber Cancer Institute, Boston, Massachusetts, United States|Weill Cornell Medical College, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT02308761"
88,"NCT03497377","Evaluation of 18F-DCFPyL PSMA- Versus 18F-NaF-PET Imaging for Detection of Metastatic Prostate Cancer.",,"Completed","No Results Available","Metastatic Prostate Cancer","Drug: 18F-DCFPyL Injection|Drug: 18F-NaF","Comparison of DCFPyL- PET/CT (or PET/MRI imaging) to NaF-PET/CT|Estimation of new or progressive metastatic lesions found on NaF and 18F-DCFPyL","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|National Cancer Institute (NCI)","Male","18 Years to 100 Years   (Adult, Older Adult)","Phase 1","25","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","J1559|IRB00065679|1U01CA183031-01A1","May 16, 2016","April 2020","April 2020","April 13, 2018",,"May 7, 2020","Johns Hopkins University, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03497377"
